rank,fitness_,ctk_string
104,2566.2766626164166,C[f(H2)]<t(B2[l(B4[t(B6)]H)t(BH6H4B2H4H)])>
105,2566.1958450633842,C[f(H2B6B[b(B2H6)l(B4H6)r(BH2H2)])]
106,2565.700989283282,C[f(B6[r(B6[t(B[r(B6[l(B2[b(B2H6HB4)])]H2)b(BH4H2)])]B)])]
107,2565.182403719712,C[l(B4[b(B2)r(B6[t(BHH6)]H2)]H2)f(H6H)]
108,2564.9270321079202,C[l(B2[b(B6B4[b(B2H2)t(B4[t(B)]H2)]HB2)])]
109,2564.7260253494424,C[l(B4[r(B4H2B2)]H4)f(B6H4)]
110,2564.5846963807135,C[l(B4[b(B6[b(B6[t(B)]H6)])]H2H4H6B4BH)]
111,2563.5653814095663,C[l(B2H2H2H6H4)f(HB2[b(B2[r(B4)]H6)])]
112,2563.534414106824,C[f(B2[r(B6[b(B[t(B4H6H6H6HH6)])]B6H2)]BH6)r(B6[l(B6)]H4)]
113,2561.3891846750403,C[l(B2[r(B6[t(B4[b(B4[r(B6)]B4H4)]H2)]H4)t(BH)]H)]
114,2561.048865003375,C[r(B4[b(B2)]H)l(B6[b(B2[t(B6)b(B6H4H6)]H2)])]<t(B4[r(BH2H6)]H4)>
115,2559.8730888917207,C[r(B2B4)]<t(B4[l(B[l(B4)b(B4HH)])])>
116,2559.7426272367966,C[l(B4)]<t(B4B2[b(B[b(B)l(B6H6H)]B2)]H4)>
117,2559.2769391751044,C[r(B[l(B2[t(B6[t(B[b(B2[r(B4)]H4H2H2HH4)])])])rb(B4)])f(H4)]
118,2559.0298093217702,C[r(B4[r(B2[r(B2)]H4H6)]HH6)f(HH2H6H2B6)]
119,2558.8507091983015,C[l(B2[b(B6H2H2H)]B2H2B4)f(B[t(B4)]H2H6)]
120,2558.312998127836,C[l(B[b(B2H2)t(B6)r(B6[b(B4HH6)])l(B[b(B4)]H2)])f(H4)]
121,2557.74685793789,C[r(B[r(BB[b(B4[b(B2)]H4H)]B6[b(B2H)]H)])]
