rank,fitness_,ctk_string
128,3.4625898118130713,C[f(B2[r(B2[r(B6[r(B6B2)]H6H)t(BH4B2)])]H6H4H2)]
129,3.4623874392142646,C[r(B[r(BH6H6B6[b(B2H4B2)l(B6[l(BH4)])])]H4H2H4)f(H4)]
130,3.4621805545960935,C[r(B6[r(B6)l(B6[b(B2[b(B2[r(B2)])t(BH4B)])]B4)])f(H6H4H)]
131,3.4621331005095266,C[l(B6[b(B2)]B[r(B)t(B6[r(B2H)]H6H6B[r(B6)])]B4)f(H4)]
132,3.462023303394089,C[l(B6[l(B[r(B6B2)]H4H)]BH4B[r(B2[b(B2)])])f(H6)]
133,3.461791994364477,C[f(H6H4BB4[l(B6[b(B2[b(B2[r(B6[t(B2)])])]HH)]B2)])]
134,3.4617835126782186,C[f(BHB[b(B2[r(B2[r(B2[b(B2H4)l(B6[b(B6)])]H)])])])]
135,3.4616066768439957,C[r(B4[b(B2[r(B2[l(B2H6H4B[t(B)]H)])l(BB2)])])f(H4)]
136,3.4612453309315763,C[r(B4[b(B)r(B[r(B2[r(B2B6[l(B6H4)]BB4)])]H)])f(H4)]
137,3.4608840268153944,C[f(B4[t(B[b(B6B2H4H2H6H4H2)]H6)]H4H)]
138,3.4608031168419555,C[f(H4H4H6H2H2B6[b(B2)]B[r(B4[l(B2B)])]B6[b(BH)])]
139,3.4607701473452543,C[l(B[t(B[t(B6[l(B)r(B[b(B2[r(B6[r(B6B[l(B)]H)]H4H6)])])]B4)])])f(H4)]
140,3.4590484676540507,C[f(B2[r(B2[t(B6)]H)])r(B6H2)l(B[r(B4H6H4)]H)]
141,3.458481768498755,C[l(BBH4B[b(B6[b(B2[b(B2[r(B6[b(B2H4)]H4)]H6)])]B)])f(H4)]
142,3.457985311006091,C[l(BH)f(H2B4[r(B2[b(B2)])b(B4H)]HBB6[b(B6)]H4)]
143,3.4574425879515016,C[r(B6[r(B6[b(B4[b(B)l(BH2)t(BHH4H2H6H)])]BH6)])f(H2)]
144,3.457110549712686,C[f(H4B[b(B4B6[r(B6[b(B2)])t(B6[t(BH)]H2H2)]H)]H4B)]
145,3.4570769670164134,C[f(B2[r(B2[t(B)l(B6B6[t(B4HB4[b(B)])]H4H)])]H4)]
146,3.4570717635662778,C[f(H2H6H4H4H4B6[b(B)]B6[b(B6[r(B)t(B2[t(B)]H4)])])]
147,3.45669724778841,C[f(B2[r(B2B4[l(B2[t(B4[b(B[b(B6B)])t(B[t(B)])]H4H4)])]H)]H)]
148,3.4565700191268802,C[l(B[l(B6H4B[b(B6[b(B2[r(B2)])])])])f(H2H6)]
149,3.456560553938223,C[f(H6B2[r(B6[t(B2[r(B[b(B6)])]H4)r(BB4B)]H4)])]
150,3.4563833835395346,C[l(B[r(B6[t(B6[l(B6[b(B6)l(B6H4H)]B2[b(B6)]H4)])])])f(H4H2)]
151,3.455023567640426,C[f(HB[r(B2[b(B2[r(B4)b(B[l(B)])])])b(B6[l(B6B)]H4)]H6)]
152,3.4548590449807355,C[r(B)l(B6[l(B[r(B2[b(B2H6)])b(B6)]H4)]B4)f(H6)]
153,3.4548062299082236,C[r(B4[l(B6[b(B2[b(B4[r(B6[t(B)]H4)])])])t(B[r(BH)]B4)])f(H4)]
154,3.454252499322916,C[l(B6[t(B[t(B6[t(B)l(B2[r(B2[l(B4[l(B4H)]B6)])])])])])f(H6H4)]
155,3.453083131323058,C[l(B6[b(B2[r(B2)b(B2[t(B6[r(B6H6)]BHH4)])]H4)]B)]
156,3.4526783569874553,C[f(H2B6[r(BH4B6[b(B4[l(B2[l(B2)]BHH)r(BH4H6)])])])]
157,3.452282865308539,C[l(B6[b(B6[r(B2[t(B)r(B2)])]BH2)]H)f(H4HBH4)]
158,3.4521954438505777,C[r(B)l(B6[t(B6[b(B)]H4)]BH4B[b(B2)]HH4H4H4)f(H4)]
159,3.451875821394019,C[f(B4[l(B6[l(B[r(B2[b(B2[r(B6H4)]H6)]H4H4H6H)])]B)])]
160,3.451158130272916,C[r(B[t(B[l(B6[r(B6H2)]H6)]B6B2H4H4H4)]H4)f(H4)]
161,3.4510258774924054,C[f(H4B4B6[l(B2[r(B4[l(B2[l(B[r(BH)])])])t(B6[r(B6)]BH6)])]H4)]
162,3.450424229644977,C[r(B)f(B2[r(B6H)t(B[r(B2B6H6)]BH6B2[l(B6[t(B)])])])]
163,3.4501314260113087,C[f(B2[l(B4[b(B)l(B6[t(B)])t(B[t(B2[t(BB6)])])]H6H4)]H6)]
164,3.4492983965184747,C[l(B6[b(B2[b(B4[r(B6[l(B[l(B6H4)])]H4HH6)])])])f(H4)]
165,3.448977782075963,C[r(B6[r(B6H)]H6BH4B2[b(B2[b(BBH4H4)])])]
166,3.4484566226495454,C[r(B6[l(B2)r(B6)t(B[r(B[r(BH6B)])])]H2H4HH)f(H6H2H2)]
167,3.447818277027018,C[l(B6[l(B[t(B2)]H4B2H2)]BB6[b(B2[r(B2[l(B6)])])]H)f(H6)]
168,3.447049699687605,C[l(B)f(H6B4HB[r(B4[t(B6)b(B6[l(B2[r(B6[l(B6H4)])])])])])]
169,3.446897915004147,C[l(B[l(B6[l(B2[r(B2)]B[r(B4H4B2[b(B6)])])]H4)]H)f(H4)]
170,3.4468905962646117,C[r(BB6[l(B6[b(B2[l(B6H4)]H4HB)])]BH2H6)f(H2H4)]
171,3.446338231277733,C[f(H6H4H6H6B[r(B4[r(B)])t(B[t(B6[t(B2)])]H6)]H6B2[r(B2)])]
172,3.4463291556329523,C[l(B[l(B6[t(B[r(B6H6H)]H2H6)]H4)]B2)f(H6)]
173,3.4462093003844743,C[r(B4[b(B[r(B4HB[b(B6[b(B2)]BH)]H2)]B6H6)])f(H4H4)]
174,3.4457330777757305,C[r(B[l(B6)t(B[t(B6[l(B2[r(B2)])t(BB[l(BB6)])]H4H4H)]H)])f(H6)]
175,3.444860453915485,C[f(H4B[l(B2[b(B6[b(B2[r(B)]B6H2)l(BHH4)])]H2)]H6)]
176,3.4444890717217955,C[f(B2[r(B2)])r(B6[t(B4)]B[r(BH4B[b(B6[l(B6)]H4H4)])]B6H)]
177,3.4444107370298633,C[l(B6[l(B4[r(B2[b(B[b(B)r(B4[t(B6[l(B)])]H4)])])])]H4)f(H6)]
178,3.4440075404293644,C[r(B6[l(B6[b(B2[t(B)])]B6[t(B)]H2)t(B[t(B)]BH6)])f(H6H2)]
179,3.4436272046112375,C[f(B2[r(B2)])l(BB[t(B)]H4B[r(B2)b(B6H)])]
180,3.4436034290923594,C[f(H6H4B6[b(B2[r(B4B6)]H4B[r(BH2)])]H6H6)]
181,3.4433953975691582,C[l(BB[r(B6)t(B[t(B2[l(B2[b(B2)])])l(BBB6H6)])]H4B)f(H6H4)]
182,3.443378209498245,C[f(B2[b(B2)r(B6)]H4B[b(B2[r(BB2B6H4H6)]H6H6)])]
183,3.4431997757496196,C[l(B6BH4B2[b(B6[b(B2[b(B2)])]B6H)]BH6)f(H4)]
184,3.44317717112541,C[f(H6B2[l(B[l(BBB6[r(B6B6B6H2)]H4)]B[r(B2H4)]H6)])]
185,3.443175042878833,C[l(B[l(BH4B[b(B6[b(B2[b(B2[r(BH4)])]H6H2)])]H4)])f(H4)]
186,3.442834915426264,C[f(B2[r(B2[r(B6[r(B6H6)]B6B4)t(B[l(B)]HH4H6)])])]
187,3.4425902821547814,C[l(B6[t(BB2H2)l(BHBH4H2)])f(H2B)]
188,3.4418754568972907,C[l(B6[b(BB6[t(B2)l(B4H4H2)]BH6)])f(H4H4H6)]
189,3.441562940693873,C[l(B6[l(B2[r(B2[l(B6)t(BH4)])])]H4H)f(H4B4[t(B6B)r(B[l(B4)])])]
190,3.441463066717966,C[l(B2[l(B6[b(B6B2B4[l(BH6H)]B6H4)]H2)])f(H4H2)]
191,3.4408955880633103,C[r(B6B[r(B4)b(B[lt(B2)r(BH4H6)])]H)f(BH)]
192,3.4408398921989756,C[l(B[r(B4[b(B4H4B)l(B6B6[l(B2B)]H4)])l(B6)]H2H2)]
193,3.440714895004952,C[r(B[b(B2[r(B2)l(B[t(B2[b(B2)]B6B2)]H4H)])])f(H6)]
194,3.4405908343760947,C[l(B6[b(B6H4H4BH4H2)l(B[l(B2)]H2)]BB2)f(H)]
195,3.4404903748195412,C[f(H6H4B[r(B2B4)]B4B6[b(B2[b(B2)])l(B6)]B[l(B)]HH6H6H)]
196,3.440433250340802,C[f(H2H6B2[t(BH)]H4B[b(B6)]B6H4)]
